"","name","friendlyName"
"1","netdata:tdud1VXRpP:fTkycV32Mu:PcQt5PVr8H_system_softirqs_softirqs_persec_average","System softirqs (system.softirqs)"
"2","netdata:tdud1VXRpP:fTkycV32Mu:PcQt5PVr8H_system_load_load_average","System Load Average (system.load)"
"3","netdata:tdud1VXRpP:fTkycV32Mu:PcQt5PVr8H_system_ipv4_kilobits_persec_average","IPv4 Bandwidth (system.ipv4)"
"4","netdata:tdud1VXRpP:fTkycV32Mu:PcQt5PVr8H_net_packets_packets_persec_average","Packets (net_packets.eth0)"
"5","netdata:tdud1VXRpP:fTkycV32Mu:PcQt5PVr8H_system_interrupts_interrupts_persec_average","System interrupts (system.interrupts)"
"6","netdata:tdud1VXRpP:fTkycV32Mu:PcQt5PVr8H_system_io_kilobytes_persec_average","Disk I/O (system.io)"
"7","netdata:tdud1VXRpP:fTkycV32Mu:PcQt5PVr8H_system_cpu_percentage_average","Total CPU utilization (system.cpu)"
"8","netdata:tdud1VXRpP:fTkycV32Mu:PcQt5PVr8H_system_ram_MB_average","System RAM (system.ram)"
"9","netdata:tdud1VXRpP:fTkycV32Mu:PcQt5PVr8H_mem_available_MB_average","Available RAM for applications (mem.available)"
"10","netdata:tdud1VXRpP:fTkycV32Mu:PcQt5PVr8H_groups_cpu_cpu_time___average","User Groups CPU Time (400% = 4 cores) (groups.cpu)"
"11","netdata:tdud1VXRpP:fTkycV32Mu:PcQt5PVr8H_ipv4_sockstat_sockets_sockets_average","IPv4 Sockets Used (ipv4.sockstat_sockets)"
